Id,Label,movie_count,avg_vote_average,years_active,top_genre,genre_1,genre_2,genre_3,movie_list
103529,Dominique Vandenberg,12,5.21,2002-2020,Action,Action,Thriller,Drama,Gangs of New York (2002); The Honorable (2002); Skeleton Man (2004); Pit Fighter (2005); Inland Empire (2006); The Perfect Sleep (2009); The Butcher (2009); Charlie Valentine (2009); True Legend (2010); For the Love of Money (2012); Triple Threat (2019); The Mercenary (2020)
103544,Domiziano Arcangeli,26,3.37,2002-2020,Horror,Horror,Comedy,Drama,"ChromiumBlue.com (2002); Werewolf in a Women's Prison (2006); 666: The Beast (2007); Stripper Academy (2007); House of Flesh Mannequins (2009); Silent Night, Zombie Night (2009); Countdown: Armageddon (2009); Samurai Avenger: The Blind Wolf (2009); The Occultist (2009); Virus X (2010); Frankenstein Rising (2010); The Scarlet Worm (2011); Lizard Boy (2011); The Ghostmaker (2011); Addicted to Blood (2011); Waiting for Dracula (2012); Scenes from a Gay Marriage (2012); My Name Is 'A' by Anonymous (2012); Meet the Moguls (2012); The Brides of Sodom (2013); The Human Race (2013); Club Lingerie (2014); Natural Born Filmmakers (2016); Caravaggio and My Mother the Pope (2017); Camp Blood 8: Revelations (2020); The Occultist 2: Bloody Guinea Pigs (2020)"
103614,Don Brady,11,5.89,2004-2015,Comedy,Comedy,Drama,Romance,A Love Song for Bobby Long (2004); Freshman Orientation (2004); The Dead Will Tell (2004); Waiting... (2005); Now You See It... (2005); Frayed (2007); Dallas Buyers Club (2013); The Hot Flashes (2013); Hateship Loveship (2014); 99 Homes (2015); Mississippi Grind (2015)
103622,Don Brown,10,4.94,2000-2008,Animation,Animation,Family,Comedy,"Lion of Oz (2000); Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys (2001); Man and Cat (2001); Weebles: Welcome to Weebleville (2004); Weebles: Sharing in the Fun (2005); The Man Who Souled the World (2007); Tom and Jerry Tales, Vol. 2 (2007); Tom and Jerry Tales, Vol. 3 (2007); Tom and Jerry Tales, Vol. 4 (2008); Tom and Jerry: Winter Tails (2008)"
103649,Don Cheadle,54,5.94,2000-2020,Drama,Drama,Documentary,Crime,Inside Traffic: The Making of 'Traffic' (2000); The Family Man (2000); Fail Safe (2000); Traffic (2000); Mission to Mars (2000); Ocean's Eleven (2001); Swordfish (2001); Things Behind the Sun (2001); Rush Hour 2 (2001); Ticker (2002); The Topdog Diaries (2002); Manic (2002); Unchained Memories: Readings from the Slave Narratives (2003); The United States of Leland (2003); The Assassination of Richard Nixon (2004); Hotel Rwanda (2004); Ocean's Twelve (2004); After the Sunset (2004); Shelter from the Storm: A Concert for the Gulf Coast (2005); A Message for Peace: Making 'Hotel Rwanda' (2005); Crash (2005); The Dog Problem (2006); King Leopold's Ghost (2006); Darfur Now (2007); Ocean's Thirteen (2007); Reign Over Me (2007); Talk to Me (2007); Traitor (2008); Adjust Your Color: The Truth of Petey Greene (2008); The People Speak (2009); Hotel for Dogs (2009); Brooklyn's Finest (2010); Iron Man 2 (2010); Captain Planet with Don Cheadle (2011); The Guard (2011); A Man's Story (2011); Flight (2012); Don Cheadle is Captain Planet - Part 4 (2012); Don Cheadle is Captain Planet - Part 2 (2012); House of Lies Live (2013); Iron Man 3 (2013); Avengers: Age of Ultron (2015); Miles Ahead (2016); Kevin Hart: What Now? (2016); David Blaine: Beyond Magic (2016); Captain America: Civil War (2016); August 28: A Day in the Life of a People (2017); Avengers: Infinity War (2018); Avengers: Endgame (2019); Captain Marvel (2019); Celebrating Marvel's Stan Lee (2019); Chadwick Boseman: A Tribute for a King (2020); One World: Together at Home (2020); Saving OurSelves: BET COVID-19 Relief Effort (2020)
103767,Don Hahn,14,6.27,2001-2020,Documentary,Documentary,Music,,"Celebrating Dumbo (2001); The Sweatbox (2002); The Making of 'Atlantis: The Lost Empire' (2002); Behind the Ears: The True Story of Roger Rabbit (2003); The Pixar Story (2007); Tinker Bell: A Fairy's Tale (2007); Waking Sleeping Beauty (2009); Beyond Beauty: The Untold Stories Behind the Making of Beauty and the Beast (2010); Miniatures in Motion: Bringing Frankenweenie to Life (2012); Tyrus (2015); Floyd Norman: An Animated Life (2016); Howard (2018); Adventure Thru the Walt Disney Archives (2020); Bugs Bunny's 80th What's Up, Doc-umentary! (2020)"
103777,Don Harvey,22,5.23,2000-2018,Drama,Drama,Thriller,Action,Batman Beyond: Return of the Joker (2000); Outside the Law (2002); Highway (2002); She Hate Me (2004); Corn (2004); Swimmers (2005); Back to You & Me (2005); Bernard and Doris (2006); Anamorph (2007); Public Enemies (2009); Frame Of Mind (2009); Gangster Squad (2013); Go for Sisters (2013); The Prince (2014); Taken 3 (2014); Noah (2014); Secret in Their Eyes (2015); Vice (2015); Dr. Del (2016); Gangster Land (2017); Mindgame (2017); Small Town Crime (2018)
103781,Don Henderson Baker,15,4.62,2002-2018,Drama,Drama,Comedy,Thriller,Divine Secrets of the Ya-Ya Sisterhood (2002); Leo (2002); New Best Friend (2002); The Angel Doll (2002); Runaway Jury (2003); The Work and the Glory II: American Zion (2005); Lincoln (2012); When Walt Whitman Was a Little Girl (2012); Infliction (2014); Don't Know Yet (2014); Well Wishes (2015); Sophie and the Rising Sun (2016); Lizzie (2018); Behind the Movement (2018); Hover (2018)
103829,Don Knotts,15,4.81,2000-2011,Family,Family,Animation,Comedy,"Tom Sawyer (2000); Quints (2000); The 1st 13th Annual Fancy Anvil Awards Show Program Special: Live in Stereo (2002); Hermie a Common Caterpillar (2003); Hermie & Friends: Flo the Lyin' Fly (2004); Hermie & Friends: Webster the Scaredy Spider (2004); Chicken Little (2005); Hermie & Friends: Buzby, the Misbehaving Bee (2005); The Adventures of Errol Flynn (2005); Air Buddies (2006); Hermie & Friends: Hermie and Wormie's Nutty Adventure (2006); Hermie & Friends: Stanley the Stinkbug Goes to Camp (2006); Hermie & Friends: Buzby and the Grumble Bees (2007); Tasmanian Devil: The Fast and Furious Life of Errol Flynn (2007); Don Knotts: Tied Up with Laughter (2011)"
103838,Don Lake,13,5.98,2000-2017,Comedy,Comedy,Drama,Family,Return to Me (2000); Best in Show (2000); The Extreme Adventures of Super Dave (2000); A Mighty Wind (2003); For Your Consideration (2006); Rugrats: Tales from the Crib: Three Jacks & A Beanstalk (2006); Smother (2008); Avalon High (2011); Grudge Match (2013); Dumb and Dumber To (2014); Zootopia (2016); Mascots (2016); Downsizing (2017)
103862,Don MacKay,11,4.11,2000-2009,TV Movie,TV Movie,Comedy,Thriller,My 5 Wives (2000); Best Actress (2000); Speaking of Sex (2001); By Dawn's Early Light (2001); Living with the Dead (2002); Jack (2004); Amber Frey: Witness for the Prosecution (2005); Dance of the Dead (2005); The Accidental Witness (2006); The Sandlot: Heading Home (2007); A Dangerous Man (2009)
103890,Don McManus,30,5.66,2000-2018,Drama,Drama,Thriller,Comedy,"The 6th Day (2000); Monsignor Martinez (2000); Hannibal (2001); Punch-Drunk Love (2002); Auto Focus (2002); Under the Tuscan Sun (2003); National Treasure (2004); Ocean's Thirteen (2007); Choose Connor (2007); The Onion Movie (2008); Ben 10: Race Against Time (2008); Killshot (2008); Little Fish, Strange Pond (2009); Kill Theory (2009); Cirque du Freak: The Vampire's Assistant (2009); Just Peck (2011); Cinema Verite (2011); Letters from the Big Man (2011); For a Good Time, Call... (2012); Lovelace (2013); Dark Around the Stars (2013); Grand Piano (2013); The Maze Runner (2014); Lucky Bastard (2014); Galyntine (2014); Grandma (2015); Park City (2015); Paranormal Activity: The Ghost Dimension (2015); Under the Silver Lake (2018); Vice (2018)"
103895,Don Messick,18,8.71,2000-2020,Animation,Animation,Family,Comedy,"Atom Ant (2000); Scooby-Doo's Creepiest Capers (2000); Scooby-Doo's Original Mysteries (2000); Scooby-Doo's Spookiest Tales (2001); Scooby-Doo! Winter WonderDog (2002); Scooby-Doo Meets Batman (2002); The 1st 13th Annual Fancy Anvil Awards Show Program Special: Live in Stereo (2002); Scooby-Doo's Spookiest Tales (2003); Cartoon Network Christmas: Yuletide Follies (2004); The Hanna-Barbera Kennel Club Roasts Scooby-Doo (2005); Scooby-Doo: Agence toutou risques, vol. 1 : Le voleur de vélo (2007); Scooby-Doo: Agence toutou risques, vol. 2 : Le fantôme de la télé (2007); Alice in Wonderland (2010); Scooby-Doo! and the Robots (2011); Scooby-Doo! and the Pirates (2011); Scooby-Doo! and the Werewolves (2012); Scooby-Doo: Mystery in Motion (2012); Scoob! (2020)"
103926,Don Novello,11,5.22,2000-2020,Comedy,Comedy,Animation,Family,The Adventures of Rocky & Bullwinkle (2000); Just One Night (2000); Atlantis: The Lost Empire (2001); Atlantis: Milo's Return (2003); Rent Control (2003); Saturday Night Live in the '80s: Lost and Found (2005); Factory Girl (2006); The Rally to Restore Sanity and/or Fear (2010); Twixt (2011); Palo Alto (2014); Belushi (2020)
103979,Don Rickles,16,6.98,2004-2019,Comedy,Comedy,Family,Documentary,"The Wool Cap (2004); Goodnight, We Love You (2004); The Aristocrats (2005); Mr. Warmth: The Don Rickles Project (2007); Phyllis Diller: Not Just Another Pretty Face (2007); Comedy Central Roast of Bob Saget (2008); Comedy Central Roast of Joan Rivers (2009); Toy Story 3 (2010); Joan Rivers: A Piece of Work (2010); Zookeeper (2011); Hawaiian Vacation (2011); Toy Story of Terror! (2013); Toy Story That Time Forgot (2014); Toy Story at 20: To Infinity and Beyond (2015); Tony Bennett Celebrates 90 (2016); Toy Story 4 (2019)"
103989,Don S. Davis,19,5.29,2000-2014,TV Movie,TV Movie,Drama,Action,The 6th Day (2000); Best in Show (2000); Hostage Negotiator (2001); Postcards From The Cast (2001); G.I. Joe: Spy Troops (2003); Miracle (2004); G.I. Joe: Valor vs. Venom (2004); American Meltdown (2004); Beneath (2007); The Still Life (2007); Secrets from Another Place: Creating Twin Peaks (2007); Stargate: Continuum (2008); The Unquiet (2008); Vipers (2008); Wyvern (2009); Stargate SG-1: Children of the Gods (2009); The Uninvited (2009); Twin Peaks: The Missing Pieces (2014); Moving Through Time: Fire Walk With Me Memories (2014)
104002,Don Scribner,21,4.02,2000-2020,Horror,Horror,Comedy,Drama,Witchcraft XI: Sisters in Blood (2000); Savage Season (2001); The Cooler (2003); Tomb of the Werewolf (2004); Bikini Chain Gang (2005); Cannibal Taboo (2006); Under Pressure (2006); Girl with the Sex-Ray Eyes (2007); Bewitched Housewives (2007); Crossing Over (2009); Alien Armageddon (2011); Step Up Revolution (2012); Bigfoot County (2012); All I Want for Christmas (2013); After Midnight (2014); Hallucinogen (2015); Encounter (2016); The Doll (2017); Paint It Red (2018); Dear Frank (2019); Proximity (2020)
104007,Don Shanks,10,4.33,2000-2019,Horror,Horror,Action,Thriller,"The Crow: Salvation (2000); Urban Legends: Bloody Mary (2005); I'll Always Know What You Did Last Summer (2006); Halloween: 25 Years of Terror (2006); The Last Sin Eater (2007); Little Bear and the Master (2008); Good Luck Charlie, It's Christmas! (2011); Smothered (2016); 4: GO (2017); Resilience and the Lost Gems (2019)"
104035,Don Swayze,15,5.02,2000-2019,Thriller,Thriller,Drama,Action,The Prophet's Game (2000); Betrayal (2003); The Cutting Edge: Going for the Gold (2006); Mystery Woman: In the Shadows (2007); Prairie Fever (2008); Powder Blue (2009); Quit (2010); Heathens and Thieves (2012); Ambush at Dark Canyon (2012); Lizzie (2013); The Appearing (2013); The Night Crew (2015); Deadwood: The Movie (2019); Beneath the Leaves (2019); I Am Patrick Swayze (2019)
104045,Don Thompson,14,5.58,2000-2014,Drama,Drama,Horror,Thriller,"Take Me Home: The John Denver Story (2000); Strange Frequency (2001); Due East (2002); Perfect Romance (2004); Slither (2006); The Bad Son (2007); Passengers (2008); Watchmen (2009); Ogre (2009); Red Riding Hood (2011); Ice Road Terror (2011); Good Morning, Killer (2011); Horns (2013); The Christmas Secret (2014)"
104059,Don Warrington,13,3.74,2000-2018,Comedy,Comedy,Drama,Thriller,"Lighthouse (2000); Fat Slags (2004); Land of the Blind (2006); Manilla Envelopes (2006); Expresso (2007); Futureshock: Comet (2008); It's a Wonderful Afterlife (2010); The Glass Man (2011); The Toys That Made Christmas (2011); The Ark (2015); King Lear (2016); On Christmas Night (2016); You, Me and Him (2018)"
104070,Don Wilson,17,4.98,2000-2020,Action,Action,Comedy,Family,"Moving Target (2000); Celebrate Christmas With Mickey, Donald & Friends (2000); Redemption (2002); Stealing Harvard (2002); Walt Disney's Fables - Vol.5 (2004); Soul Plane (2004); 18 Fingers of Death! (2006); Crooked (2006); The Last Sentinel (2007); Underdog Kids (2015); The Scorpion King 4: Quest for Power (2015); The Martial Arts Kid (2015); Showdown in Manila (2016); Death Fighter (2017); Paying Mr. McGetty (2018); Iron Fists and Kung Fu Kicks (2019); The Ventures: Stars on Guitars (2020)"
104080,Don Yesso,18,5.34,2001-2019,Crime,Crime,Comedy,Action,American Pie 2 (2001); The Badge (2002); Big Fat Liar (2002); Sonny (2002); Mickey (2004); Bad Lieutenant: Port of Call New Orleans (2009); I Love You Phillip Morris (2010); Stash House (2012); Transit (2012); Bullet to the Head (2012); 22 Jump Street (2014); Bad Country (2014); Fantastic Four (2015); Focus (2015); American Ultra (2015); Jeepers Creepers 3 (2017); Tres Leches (2017); The Demonologist (2019)
104102,Donal Logue,31,5.74,2000-2019,Drama,Drama,Comedy,Thriller,The Million Dollar Hotel (2000); The Opportunists (2000); The Patriot (2000); Reindeer Games (2000); Takedown (2000); The Tao of Steve (2000); Steal This Movie (2000); Comic Book Villains (2002); American Splendor (2003); Confidence (2003); Just Like Heaven (2005); Tennis Anyone? (2006); The Ex (2006); The Groomsmen (2006); Shark Bait (2006); Jack's Law (2006); Purple Violets (2007); Zodiac (2007); Ghost Rider (2007); Max Payne (2008); 1% (2008); The Lodger (2009); Charlie St. Cloud (2010); Shark Night 3D (2011); The Reef 2: High Tide (2012); Silent Night (2012); CBGB (2013); 9 Full Moons (2013); The Cloverfield Paradox (2018); We Only Know So Much (2018); Inmate #1: The Rise of Danny Trejo (2019)
104154,Donald Cerrone,20,5.24,2008-2020,Action,Action,Thriller,Documentary,WEC 36: Faber vs. Brown (2008); WEC 34: Faber vs. Pulver (2008); WEC 38: Varner vs. Cerrone (2009); UFC 160: Velasquez vs Bigfoot 2 (2013); UFC on Fox 11: Werdum vs. Browne (2014); UFC 182: Jones vs. Cormier (2015); UFC Fight Night 59: McGregor vs. Siver (2015); Mask (2015); UFC 206: Holloway vs. Pettis (2016); UFC 202: Diaz vs. McGregor 2 (2016); UFC Fight Night 83: Cowboy vs. Cowboy (2016); UFC on Fox 23: Shevchenko vs. Peña (2017); UFC 214: Cormier vs. Jones 2 (2017); UFC Fight Night 118: Cerrone vs. Till (2017); The Equalizer 2 (2018); UFC Fight Night 126: Cowboy vs. Medeiros (2018); UFC Fight Night 132: Cowboy vs. Edwards (2018); Spenser Confidential (2020); Embattled (2020); UFC 249: Ferguson vs. Gaethje (2020)
104193,Donald Faison,30,5.51,2000-2020,Comedy,Comedy,Action,Drama,"Remember the Titans (2000); Double Whammy (2001); Josie and the Pussycats (2001); Big Fat Liar (2002); Uptown Girls (2003); Good Boy! (2003); King's Ransom (2005); Bachelor Party Vegas (2006); Something New (2006); Homie Spumoni (2006); Robot Chicken: Star Wars (2007); Robot Chicken: Star Wars Episode II (2008); Next Day Air (2009); Your Life, Your Money (2009); Venus & Vegas (2010); Robot Chicken: Star Wars Episode III (2010); Skyline (2010); NB80s (2011); Pitch Perfect (2012); A Snow Globe Christmas (2013); Kick-Ass 2 (2013); Wish I Was Here (2014); Video Games: The Movie (2014); Let's Kill Ward's Wife (2014); The Perfect Match (2016); Hot Bot (2016); Little Evil (2017); Game Over, Man! (2018); The Wave (2019); Embattled (2020)"
104195,Donald Farmer,10,2.24,2002-2020,Horror,Horror,Comedy,Drama,Deadly Memories (2002); Dorm of the Dead (2006); I Spill Your Guts (2012); Cyclical Effect (2012); Cool As Hell (2013); Catch of the Day (2014); Shark Exorcist (2015); Cannibal Cop (2017); Chickens Blood (2019); Cannibal Hookers (2020)
104208,Donald Glover,22,6.01,2006-2020,Comedy,Comedy,Science Fiction,Adventure,"Awesome; I Fuckin' Shot That! (2006); Mystery Team Adventures: The Case of the Haunted Hotel (2009); Mystery Team (2009); Robot Chicken: Star Wars Episode III (2010); The Muppets (2011); Shut Up and Play the Hits (2012); Donald Glover: Weirdo (2012); The To Do List (2013); Clapping for the Wrong Reasons (2013); Harmontown (2014); Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014); The Martian (2015); The Lazarus Effect (2015); Magic Mike XXL (2015); Spider-Man: Homecoming (2017); Solo: A Star Wars Story (2018); The Lion King (2019); Men in Black: International (2019); Guava Island (2019); The Lion King: Can You Feel The Love Tonight with Robin Roberts (2019); Beyoncé Presents: Making The Gift (2019); Community Table Read (2020)"
104215,Donald Hager Jr.,80,7.17,2009-2020,Action,Action,Drama,TV Movie,"WWE Night of Champions 2009 (2009); WWE Royal Rumble 2009 (2009); WWE No Way Out 2009 (2009); WWE Backlash 2009 (2009); WWE Judgment Day 2009 (2009); WWE Extreme Rules 2009 (2009); WWE The Bash 2009 (2009); WWE SummerSlam 2009 (2009); WWE Hell in a Cell 2009 (2009); WWE Bragging Rights 2009 (2009); WWE WrestleMania XXV (2009); WWE Survivor Series 2009 (2009); WWE Bragging Rights 2010 (2010); WWE Money in the Bank 2010 (2010); WWE Fatal 4-Way 2010 (2010); WWE TLC: Tables Ladders & Chairs 2010 (2010); WWE Survivor Series 2010 (2010); WWE Hell In A Cell 2010 (2010); WWE Tribute to the Troops 2010 (2010); WWE Over the Limit 2010 (2010); WWE Wrestlemania XXVI (2010); WWE Royal Rumble 2010 (2010); WWE Extreme Rules 2010 (2010); The Ladder Match 2: Crash & Burn (2011); WWE Night of Champions 2011 (2011); WWE Money in the Bank 2011 (2011); WWE TLC: Tables Ladders & Chairs 2011 (2011); WWE Extreme Rules 2011 (2011); WWE Capitol Punishment 2011 (2011); WWE WrestleMania XXVII (2011); WWE Royal Rumble 2011 (2011); WWE Hell in a Cell 2011 (2011); WWE Vengeance 2011 (2011); WWE Survivor Series 2011 (2011); WWE RAW 1000 (2012); WWE Royal Rumble 2012 (2012); WWE Elimination Chamber 2012 (2012); WWE WrestleMania XXVIII (2012); WWE Extreme Rules 2012 (2012); WWE Over The Limit 2012 (2012); WWE: Rey Mysterio - The Life of a Masked Man (2012); WWE TLC: Tables, Ladders & Chairs 2013 (2013); WWE Survivor Series 2013 (2013); WWE Extreme Rules 2013 (2013); WWE Hell in a Cell 2013 (2013); WWE: Straight to the Top - Money in the Bank Anthology (2013); WWE Night of Champions 2013 (2013); WWE Elimination Chamber 2013 (2013); WWE Battleground 2013 (2013); WWE WrestleMania 29 (2013); WWE TLC: Tables, Ladders & Chairs 2014 (2014); WWE Survivor Series 2014 (2014); WWE SummerSlam 2014 (2014); WWE Battleground 2014 (2014); WWE Extreme Rules 2014 (2014); WWE WrestleMania XXX (2014); WWE Elimination Chamber 2014 (2014); WWE Money in the Bank 2014 (2014); WWE Royal Rumble 2014 (2014); WWE Royal Rumble 2015 (2015); The Destruction of The Shield (2015); WWE WrestleMania 31 (2015); WWE TLC: Tables, Ladders & Chairs 2015 (2015); WWE Royal Rumble 2016 (2016); WWE WrestleMania 32 (2016); WWE Roadblock 2016 (2016); WWE No Mercy 2016 (2016); HOUSE OF HARDCORE 28 (2017); AEW Full Gear 2019 (2019); Hot WWE News DVD (2019); AEW Fyter Fest (2020); AEW Fight for the Fallen (2020); AEW All Out 2020 (2020); AEW Full Gear 2020 (2020); AEW Winter is Coming (2020); AEW Bash at the Beach (2020); Chris Jericho's 30th Anniversary Celebration (2020); AEW Dynamite Anniversary Show (2020); AEW Revolution 2020 (2020); AEW Double or Nothing 2020 (2020)"
104329,Donald Rumsfeld,20,5.83,2002-2018,Documentary,Documentary,History,War,"The Bush White House: Inside the Real West Wing (2002); LSD a Go Go (2004); Unconstitutional: The War On Our Civil Liberties (2004); Fahrenheit 9/11 (2004); WMD: Weapons of Mass Deception (2004); Control Room (2004); ...So Goes the Nation (2006); Ghosts of Abu Ghraib (2007); Blood and Oil (2008); The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby (2011); 9/11: The Day That Changed the World (2011); Top Priority: The Terror Within (2012); The World According to Dick Cheney (2013); The Unknown Known (2013); We Are Many (2014); The Draft (2015); Shadow World (2016); 15 Septembers Later (2016); The Words That Built America (2017); Above Majestic (2018)"
104347,Donald Spoto,12,2.79,2000-2015,Documentary,Documentary,Drama,TV Movie,Jackie Bouvier Kennedy Onassis (2000); Huston's Gamble (2006); Mrs. Stone: Looking for the Light in All the Dark Corners (2006); Cat on a Hot Tin Roof: Playing Cat and Mouse (2006); Saul Bass: Title Champ (2008); In the Master's Shadow: Hitchcock's Legacy (2008); Edith Head: Dressing the Master's Movies (2008); Alma: The Master's Muse (2008); Pure Cinema: Through the Eyes of Hitchcock (2008); Breaking Barriers: The Sound of Hitchcock (2008); Bernard Herrmann: Hitchcock's Maestro (2008); Shipwrecked in a Studio: The Making of Alfred Hitchcock's Jamaica Inn (2015)
104353,Donald Sumpter,20,5.87,2001-2015,Drama,Drama,Thriller,TV Movie,"Enigma (2001); The Life and Adventures of Nicholas Nickleby (2001); The Point Men (2001); K-19: The Widowmaker (2002); The Constant Gardener (2005); Dracula (2006); The Chatterley Affair (2006); Anatomy of a Global Thriller: Behind the Scenes of The Constant Gardener (2006); Eastern Promises (2007); Heist (2008); Hello Sailor! (2008); Einstein and Eddington (2008); Into the Storm (2009); Ultramarines: A Warhammer 40,000 Movie (2010); London Boulevard (2010); The Murder at Road Hill House (2011); The Girl with the Dragon Tattoo (2011); Bypass (2014); In the Heart of the Sea (2015); Coalition (2015)"
104354,Donald Sutherland,57,6.03,2000-2020,Drama,Drama,Thriller,Action,Panic (2000); Clint Eastwood: Out of the Shadows (2000); Enlisted: The Story of 'M*A*S*H' (2000); Space Cowboys (2000); The Art of War (2000); Final Fantasy: The Spirits Within (2001); The Autobiography of Malcolm X (2001); The Big Heist (2001); Uprising (2001); Baltic Storm (2003); Path to War (2003); Fellini: I'm a Born Liar (2003); Cold Mountain (2003); Five Moons Plaza (2003); The Italian Job (2003); Lord of War (2005); American Gun (2005); Pride & Prejudice (2005); Budd Boetticher: A Man Can Do That (2005); Aurora Borealis (2005); An American Haunting (2005); Ask the Dust (2006); Beerfest (2006); Fierce People (2006); Land of the Blind (2006); Trumbo (2007); Reign Over Me (2007); Sleepwalkers (2007); Puffball (2007); Fool's Gold (2008); Astro Boy (2009); Horrible Bosses (2011); The Mechanic (2011); Jock the Hero Dog (2011); The Eagle (2011); The World Is Watching: Making the Hunger Games (2012); The Hunger Games (2012); The Hunger Games: Letters From The Rose Garden (2012); Assassin's Bullet (2012); Dawn Rider (2012); The Hunger Games: Catching Fire (2013); Surviving the Game: Making The Hunger Games: Catching Fire (2014); The Calling (2014); The Hunger Games: Mockingjay - Part 1 (2014); Forsaken (2015); The Mockingjay Lives: The Making of the Hunger Games: Mockingjay Part 1 (2015); The Hunger Games: Mockingjay - Part 2 (2015); Nicolas Roeg: It's About Time... (2015); Point and Shoot (2016); Basmati Blues (2017); Measure of a Man (2018); The Leisure Seeker (2018); American Hangman (2019); Backdraft 2 (2019); Ad Astra (2019); The Burnt Orange Heresy (2020); Alone (2020)
104362,Donald Trump,102,5.52,2001-2020,Documentary,Documentary,Comedy,Drama,"Zoolander (2001); The N.Y. Friars Club Roast of Hugh Hefner (2001); Two Weeks Notice (2002); WWE WrestleMania XX (2004); Marmalade (2004); Annie Leibovitz: Life Through a Lens (2007); WWE WrestleMania 23 (2007); Small Potatoes: Who Killed the USFL? (2009); Comedy Central Roast of Joan Rivers (2009); Four Days in October (2010); POM Wonderful Presents: The Greatest Movie Ever Sold (2011); Comedy Central Roast of Donald Trump (2011); You've Been Trumped (2012); The Central Park Five (2012); Horrorween (2012); The History of WWE: 50 Years of Sports Entertainment (2013); WWE Hall Of Fame 2013 (2013); A Dangerous Game (2014); The Making of Trump (2015); The Occupation of the American Mind (2016); You've Been Trumped Too (2016); OBJECTified: Donald Trump (2016); America's Hate Preachers (2016); Michael Moore in TrumpLand (2016); President Trump: Can He Really Win? (2016); One Nation Under Trump (2016); Before the Flood (2016); 13th (2016); Meet the Donors: Does Money Talk? (2016); Triumph's Election Special 2016 (2016); Snowden (2016); HyperNormalisation (2016); Our New President (2017); The Words That Built America (2017); 95th Annual National Christmas Tree Lighting (2017); Angry, White and American (2017); Ivanka Trump- America's Real First Lady? (2017); The Brit Who Tried to Kill Trump (2017); Get Me Roger Stone (2017); Britain's Greatest Hoaxer (2017); Nobody Speak: Trials of the Free Press (2017); Meet the Trumps: From Immigrant to President (2017); An Inconvenient Sequel: Truth to Power (2017); Trumped: Inside the Greatest Political Upset of All Time (2017); Zembla - The Dubious Friends of Donald Trump Part 1: The Russians (2017); Panic: The Untold Story of the 2008 Financial Crisis (2018); Outside the Bubble: On the Road with Alexandra Pelosi (2018); Trump @War (2018); The Panama Papers (2018); Reversing Roe (2018); Undercover in the Alt-Right (2018); Fahrenheit 11/9 (2018); Wrestlemania's Greatest Moments (2018); Is Trump for Real? (2018); RBG (2018); Our New President (2018); BlacKkKlansman (2018); The Final Year (2018); How to Kill 14 People Without Saying a Word (2018); Rodman: For Better or Worse (2019); The Crown Prince of Saudi Arabia (2019); Coup 53 (2019); Revealing Ukraine (2019); Gaza Fights for Freedom (2019); D-Day 75: A Tribute to Heroes (2019); American Youth (2019); American Dharma (2019); POLITICAL BULLSHIT (THE ""ARTICLE II SECTION IV"" CUT) (2019); Korea: The Never-Ending War (2019); Rigged: The Voter Suppression Playbook (2019); Trump's Pitch (2019); Where's My Roy Cohn? (2019); XY Chelsea (2019); Mike Wallace Is Here (2019); Bully. Coward. Victim. The Story of Roy Cohn (2019); The Brink (2019); Untouchable (2019); A House Divided (2020); Illuminati (2020); Utopia Means Nowhere (2020); Trump A.C./D.C. (2020); Bodyslammed: Folk Hero vs. Billionaire (2020); Aboard Air Force One (2020); Pandemic: The People, The Conspiracy, The Journey (2020); They Get Brave (2020); Donald Trump Is President and You're Not: A Portrait of Donald J. Trump (2020); The Trump I Know (2020); Da 5 Bloods (2020); The Choice 2020: Trump vs. Biden (2020); United States of Conspiracy (2020); The Way I See It (2020); Barbie & Kendra Save the Tiger King (2020); Trump Card (2020); Corona Zombies (2020); Viral: Antisemitism in Four Mutations (2020); Amazon Empire: The Rise and Reign of Jeff Bezos (2020); Trump: The First Term (2020); The Dissident (2020); The Fight (2020); Feels Good Man (2020); The Plot Against the President (2020); Trump 2024: The World After Trump (2020)"
104417,Donavon Stinson,13,5.9,2003-2016,Comedy,Comedy,Action,TV Movie,A Guy Thing (2003); The Stranger Beside Me (2003); Fantastic Four (2005); Hot Rod (2007); The X-Files: I Want to Believe (2008); Chaos Theory (2008); Ice Road Terror (2011); A Fairly Odd Christmas (2013); Santa Hunters (2014); Gourmet Detective (2015); Warcraft (2016); All Yours (2016); Dead Rising: Endgame (2016)
104480,Donna Adamo,11,1.4,2000-2004,Action,Action,Documentary,,"ECW Anarchy Rulz 2000 (2000); ECW Guilty as Charged 2000 (2000); ECW Living Dangerously 2000 (2000); ECW Massacre on 34th Street (2000); ECW November to Remember 2000 (2000); ECW Fan Cam: August 25, 2000 (2000); ECW Fan Cam: September 9, 2000 (2000); ECW Fan Cam: November 10, 2000 (2000); ECW Fan Cam: November 11, 2000 (2000); ECW Fan Cam: December 15, 2000 (2000); WWE: The Rise + Fall of ECW (2004)"
