Source,Target,Type,Weight
70274,145314,Undirected,3
70274,241695,Undirected,3
70274,264038,Undirected,5
70274,275736,Undirected,2
74140,131420,Undirected,2
74140,264038,Undirected,3
131420,264038,Undirected,3
131420,275736,Undirected,2
145314,241695,Undirected,2
241695,264038,Undirected,2
264038,275736,Undirected,4
137761,163308,Undirected,3
137761,241420,Undirected,2
163308,241420,Undirected,2
22187,46169,Undirected,2
22187,60543,Undirected,2
22187,103649,Undirected,2
22187,133305,Undirected,2
22187,198141,Undirected,2
22187,255296,Undirected,2
22187,336608,Undirected,2
46169,60543,Undirected,5
46169,103649,Undirected,3
46169,133305,Undirected,6
46169,198141,Undirected,5
46169,255296,Undirected,4
46169,336608,Undirected,3
60543,103649,Undirected,3
60543,133305,Undirected,3
60543,198141,Undirected,2
60543,255296,Undirected,5
60543,336608,Undirected,3
103649,133305,Undirected,4
103649,198141,Undirected,2
103649,255296,Undirected,3
103649,336608,Undirected,4
114396,198141,Undirected,2
114396,255296,Undirected,2
133305,198141,Undirected,5
133305,255296,Undirected,4
133305,336608,Undirected,3
198141,255296,Undirected,3
198141,336608,Undirected,2
255296,336608,Undirected,3
40093,46169,Undirected,2
40093,60543,Undirected,2
40093,103649,Undirected,2
40093,133305,Undirected,2
40093,255296,Undirected,2
40093,336608,Undirected,2
46169,61809,Undirected,4
61809,103649,Undirected,3
61809,133305,Undirected,2
5938,94247,Undirected,2
49977,249066,Undirected,2
48194,74140,Undirected,3
228055,356234,Undirected,2
238799,313186,Undirected,2
60460,227438,Undirected,3
60460,343173,Undirected,2
60460,369942,Undirected,3
102291,227438,Undirected,2
102291,343173,Undirected,3
102291,369942,Undirected,3
227438,343173,Undirected,3
227438,369942,Undirected,4
343173,369942,Undirected,5
81744,85102,Undirected,2
37115,133305,Undirected,2
61322,133305,Undirected,2
38309,194503,Undirected,2
53084,176310,Undirected,2
53084,269502,Undirected,3
53084,304181,Undirected,2
76394,269502,Undirected,2
76394,326865,Undirected,2
176310,269502,Undirected,2
176310,304181,Undirected,2
265988,269502,Undirected,2
265988,326865,Undirected,3
269502,304181,Undirected,2
53084,193411,Undirected,2
53084,194243,Undirected,2
98812,309378,Undirected,4
176310,194243,Undirected,3
176310,309378,Undirected,2
193411,269502,Undirected,2
193411,324383,Undirected,2
269502,324383,Undirected,2
6785,386334,Undirected,2
190604,247827,Undirected,2
190604,295171,Undirected,4
190604,386334,Undirected,2
247827,264557,Undirected,3
247827,295171,Undirected,2
264557,323230,Undirected,2
264557,386389,Undirected,2
295171,386334,Undirected,2
323230,386389,Undirected,2
23924,104828,Undirected,2
23924,239992,Undirected,2
23924,369942,Undirected,2
102291,104828,Undirected,2
104828,239992,Undirected,2
104828,343173,Undirected,2
104828,369942,Undirected,3
154973,227438,Undirected,2
154973,239992,Undirected,2
154973,343173,Undirected,2
239992,369942,Undirected,2
20384,151418,Undirected,2
